Benchmark,sec/op,CI
Gol/512x512x1000-1-8,3.3244026345,7%
Gol/512x512x1000-2-8,3.1672178790000003,4%
Gol/512x512x1000-3-8,3.125550843,5%
Gol/512x512x1000-4-8,3.1430413915000006,4%
Gol/512x512x1000-5-8,3.202115537,3%
Gol/512x512x1000-6-8,3.1183349950000006,1%
Gol/512x512x1000-7-8,3.1263340125,4%
Gol/512x512x1000-8-8,3.1442081225000003,6%
Gol/512x512x1000-9-8,3.11316886,6%
Gol/512x512x1000-10-8,3.1551638730000002,4%
Gol/512x512x1000-11-8,3.1228173835,3%
Gol/512x512x1000-12-8,3.130979808,7%
Gol/512x512x1000-13-8,3.141980469,3%
Gol/512x512x1000-14-8,3.1300359175,4%
Gol/512x512x1000-15-8,3.134048115,1%
Gol/512x512x1000-16-8,3.133368898,10%
geomean,3.150420364204876,
